task_id,perm_id,variance,avg_jaccard,num_tools
51,1,0.6,0.6851851851851852,8
51,2,1.16,0.37777777777777777,8
51,3,1.04,0.3037037037037037,8
51,4,1.16,0.37777777777777777,8
52,0,1.2099999999999997,0.4296296296296296,8
52,1,1.2100000000000002,0.4296296296296296,8
52,2,0.56,0.6555555555555554,8
52,3,2.7600000000000007,0.31407407407407406,8
52,4,0.7600000000000001,0.4222222222222222,8
53,0,0.8099999999999999,0.5925925925925926,8
53,1,1.2,0.37407407407407406,8
53,2,0.8900000000000002,0.4,8
53,3,0.6400000000000001,0.5407407407407407,8
53,4,0.8400000000000001,0.5333333333333333,8
54,0,1.8400000000000003,0.33296296296296296,8
54,1,0.48999999999999994,0.4777777777777778,8
54,2,2.04,0.3244444444444444,8
54,3,0.64,0.5518518518518518,8
54,4,2.29,0.402962962962963,8
55,0,0.64,0.6444444444444445,8
55,1,0.76,0.4222222222222222,8
55,2,0.56,0.5574074074074074,8
55,3,2.25,0.4706349206349207,8
55,4,1.65,0.5028042328042328,8
56,0,0.48999999999999994,0.5888888888888889,8
56,1,0.65,0.5666666666666667,8
56,2,0.6400000000000002,0.6444444444444445,8
56,3,0.49000000000000005,0.5444444444444443,8
56,4,2.04,0.3933333333333333,8
57,0,1.05,0.487037037037037,8
57,1,0.8,0.38703703703703696,8
57,2,0.49000000000000005,0.6814814814814815,8
57,3,0.24000000000000005,0.4666666666666667,8
57,4,0.16000000000000006,0.6444444444444445,8
58,0,1.2,0.34444444444444444,8
58,1,1.2900000000000005,0.25925925925925924,8
58,2,3.3600000000000003,0.4608465608465609,8
58,3,0.8900000000000002,0.34629629629629627,8
58,4,0.64,0.36296296296296304,8
59,0,2.4899999999999998,0.33555555555555555,8
59,1,0.64,0.4074074074074074,8
59,2,0.49000000000000005,0.4222222222222222,8
59,3,1.45,0.36296296296296293,8
59,4,0.8,0.3333333333333333,8
60,0,1.56,0.4914814814814815,8
60,1,4.25,0.3666666666666666,8
60,2,4.21,0.245,8
60,3,2.6399999999999997,0.3118518518518519,8
60,4,2.84,0.3762962962962963,8
61,0,1.4400000000000002,0.34444444444444444,8
61,1,1.21,0.3148148148148148,8
61,2,2.69,0.19301587301587303,8
61,3,2.6100000000000003,0.41555555555555557,8
61,4,3.8900000000000006,0.34074074074074073,8
62,0,2.29,0.3585185185185185,8
62,1,3.8,0.2875661375661375,8
62,2,2.4100000000000006,0.3059259259259259,8
62,3,3.6400000000000006,0.30793650793650795,8
62,4,0.65,0.49629629629629635,8
63,0,0.8900000000000002,0.29259259259259257,8
63,1,2.0100000000000002,0.33185185185185184,8
63,2,1.7600000000000002,0.36666666666666664,8
63,3,2.4899999999999998,0.2977777777777778,8
63,4,0.41,0.4111111111111111,8
64,0,1.3599999999999999,0.26296296296296295,8
64,1,2.36,0.21592592592592597,8
64,2,6.6,0.312962962962963,8
64,3,7.01,0.5206349206349207,8
64,4,0.8400000000000001,0.5296296296296296,8
65,0,0.64,0.4222222222222222,8
65,1,1.24,0.4,8
65,2,1.05,0.4888888888888889,8
65,3,0.8399999999999999,0.5333333333333333,8
65,4,0.36000000000000004,0.8,8
66,0,0.8,0.37777777777777777,8
66,1,0.56,0.6555555555555557,8
66,2,1.2900000000000003,0.4444444444444444,8
66,3,1.2400000000000002,0.3611111111111111,8
66,4,0.8900000000000002,0.35555555555555557,8
67,0,3.0100000000000007,0.4096296296296296,8
67,1,2.1600000000000006,0.3251851851851852,8
67,2,1.44,0.3074074074074074,8
67,3,0.6,0.3703703703703703,8
67,4,5.4399999999999995,0.3277777777777778,8
68,0,1.56,0.3333333333333333,8
68,1,1.41,0.4444444444444444,8
68,2,4.49,0.2992592592592592,8
68,3,0.6400000000000002,0.6444444444444445,8
68,4,1.16,0.37777777777777777,8
69,0,5.090000000000001,0.3094444444444444,8
69,1,1.85,0.38703703703703696,8
69,2,0.9600000000000002,0.3592592592592592,8
69,3,0.8,0.39629629629629626,8
69,4,1.2399999999999998,0.4111111111111111,8
70,0,6.4399999999999995,0.4777777777777778,8
70,1,1.81,0.3218518518518519,8
70,2,1.0,0.31666666666666665,8
70,3,2.2,0.34444444444444444,8
70,4,0.8,0.28888888888888886,8
71,0,3.29,0.36338624338624337,8
71,1,2.04,0.2533333333333333,8
71,2,3.2,0.24185185185185185,8
71,3,4.05,0.30357142857142855,8
71,4,9.64,0.36660493827160495,8
72,0,0.8099999999999999,0.43333333333333335,8
72,1,0.8099999999999999,0.4296296296296296,8
72,2,6.960000000000001,0.2857142857142857,8
72,3,5.489999999999999,0.2916666666666667,8
72,4,1.16,0.37777777777777777,8
73,0,1.1600000000000001,0.41481481481481486,8
73,1,0.5599999999999999,0.3111111111111111,8
73,2,1.24,0.3333333333333333,8
73,3,1.9599999999999997,0.37555555555555553,8
73,4,0.6100000000000001,0.37777777777777777,8
74,0,0.8099999999999999,0.5925925925925926,8
74,1,1.4899999999999998,0.49444444444444446,8
74,2,0.7600000000000001,0.4222222222222222,8
74,3,2.6900000000000004,0.603174603174603,8
74,4,1.61,0.46814814814814815,8
75,0,2.84,0.30296296296296293,8
75,1,3.8900000000000006,0.1985185185185185,8
75,2,0.89,0.4111111111111111,8
75,3,2.04,0.2948148148148148,8
75,4,0.89,0.337037037037037,8
76,0,1.0,0.27037037037037037,8
76,1,0.09000000000000001,0.6222222222222222,8
76,2,1.6900000000000002,0.3907407407407407,8
